Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (_muJ/K),Addenda HC Err (_muJ/K),Total HC (_muJ/K),Total HC Err (_muJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (_muJ/K)
41060241.22,,5905,,1.9502,0.065,0.0000091,1.9259704,0.03851873,3.7574448,0.006443,0.25839964,0.0005683,27.881426,0.04736,0.1343777,20.026816,0.0090810772,94.800404,61.84333,0.03531,1,,,,0.000001467191,28.35295,3.709362,1.9509359,0
41060407.3,,5905,,1.9503,0.065,0.0000091,1.9297382,0.047814129,3.7625466,0.004276,0.25967267,0.0005679,27.920206,0.03143,0.20215137,20.324301,0.0091303078,94.870382,61.936296,0.02344,1,,,,0.0000014466719,40.053633,3.7238896,1.9497705,0
41060574.95,,5905,,1.95,0.065,0.0000091,1.9296419,0.048109713,3.7674274,0.003935,0.25960269,0.0005679,27.956017,0.02893,0.63518731,20.394918,0.0091852112,94.848323,61.906446,0.02154,1,,,,0.0000014438442,40.648601,3.7235177,1.9523972,0
41060856.06,,5905,,2.1536,0.065,0.0000091,2.1018967,0.052547483,3.8017253,0.003269,0.33472583,0.0007631,28.283283,0.02403,1.1502454,18.5629,0.010270461,95.033056,67.229298,0.01926,1,,,,0.0000016014512,40.789836,4.4179697,1.8087118,0
41060994.38,,5905,,2.1545,0.065,0.0000091,2.1007714,0.050532082,3.7970664,0.003543,0.33428829,0.0007614,28.248595,0.02605,0.26458933,18.475984,0.010193043,95.047638,67.220776,0.0209,1,,,,0.0000016067704,37.125799,4.4132404,1.8074629,0
41061130.84,,5905,,2.1544,0.065,0.0000091,2.100499,0.050444357,3.7989016,0.004042,0.33424304,0.0007612,28.262041,0.02972,0.1669898,18.559004,0.010295376,95.015674,67.201234,0.02382,1,,,,0.0000016008722,36.951969,4.4120959,1.8085711,0
41061399.27,,5905,,2.3567,0.065,0.0000092,2.2808583,0.054791314,3.8569779,0.003053,0.42858001,0.001017,28.783329,0.02244,0.81778535,17.096762,0.011593485,95.155194,72.603359,0.01914,1,,,,0.0000017667978,37.118008,5.2023146,1.6910204,0
41061526.8,,5905,,2.3577,0.065,0.0000091,2.27992,0.052939524,3.8590885,0.003173,0.42823447,0.001016,28.798499,0.02333,0.17439233,17.070916,0.011471551,95.19444,72.560258,0.01988,1,,,,0.0000017696984,34.193524,5.1980351,1.6926421,0
41061655.2,,5905,,2.3588,0.065,0.0000091,2.2797756,0.052842769,3.8616447,0.003687,0.42814719,0.001016,28.817204,0.02711,0.12993078,17.055174,0.011544921,95.153171,72.539651,0.02307,1,,,,0.0000017732326,34.141832,5.1973769,1.6938705,0
41061913.94,,5905,,2.5638,0.065,0.0000091,2.4644744,0.056954399,3.9353304,0.002393,0.54181145,0.001242,29.472572,0.0176,2.3145551,15.937967,0.013020939,95.263645,77.924023,0.01579,1,,,,0.0000019378714,34.110348,6.0736339,1.5968234,0
41062034.25,,5905,,2.5624,0.065,0.0000091,2.4638284,0.055540711,3.9301715,0.002979,0.54151781,0.001241,29.434353,0.0219,0.19157271,15.853281,0.013026918,95.238528,77.93767,0.01969,1,,,,0.0000019461905,31.875935,6.0704504,1.5951482,0
41062153.45,,5905,,2.5618,0.065,0.0000092,2.4636551,0.0552977,3.9331615,0.002817,0.54151341,0.001241,29.45633,0.02071,0.47961951,15.825867,0.012998134,95.237221,77.912435,0.01859,1,,,,0.0000019510457,31.706561,6.0695964,1.5964741,0
41062403.75,,5905,,2.7657,0.065,0.0000091,2.64884,0.05980686,4.0031078,0.002298,0.67916807,0.001797,30.108197,0.01689,0.75095192,14.97576,0.014825975,95.308181,83.27809,0.01593,1,,,,0.0000021051163,31.651733,7.0163532,1.5112683,0
41062518.17,,5905,,2.7654,0.065,0.0000091,2.6482701,0.058667896,4.0103622,0.003016,0.67881966,0.001796,30.16118,0.02217,0.12004318,15.038769,0.014832925,95.315554,83.209939,0.02085,1,,,,0.000002099839,29.951519,7.0133343,1.5143328,0
41062633.23,,5905,,2.7659,0.065,0.0000091,2.6482875,0.05893389,3.9998647,0.002996,0.67883214,0.001796,30.08402,0.02203,0.085112679,14.97759,0.014713981,95.347357,83.283216,0.02078,1,,,,0.0000021023385,30.077539,7.0134264,1.510359,0
41062876.28,,5905,,2.9726,0.065,0.000009,2.8386615,0.06346191,4.0893581,0.002016,0.83735488,0.002229,30.900457,0.01482,1.5859531,14.259775,0.016556228,95.406237,88.614072,0.01456,1,,,,0.0000022658468,29.95518,8.0579991,1.4405938,0
41062985.48,,5905,,2.9716,0.065,0.0000091,2.8381932,0.062452537,4.0986752,0.003516,0.83731458,0.002229,30.968912,0.02585,0.03273802,14.31307,0.016622151,95.394444,88.532266,0.0253,1,,,,0.0000022626891,28.519551,8.0553404,1.4441143,0
41063096.33,,5905,,2.9717,0.065,0.0000091,2.8382084,0.06268648,4.0878309,0.002359,0.83733474,0.002229,30.88921,0.01734,0.32942845,14.267578,0.0167178,95.363614,88.610959,0.01704,1,,,,0.0000022647438,28.62614,8.0554268,1.4402857,0
41063332.84,,5905,,3.1713,0.065,0.0000091,3.0316788,0.067250869,4.1876587,0.002461,1.0185284,0.002303,31.804292,0.01809,1.0157157,13.600497,0.018615526,95.397845,93.893075,0.01838,1,,,,0.0000024443186,28.535156,9.1910764,1.3813003,0
41063439.47,,5905,,3.1743,0.065,0.000009,3.0311145,0.066039655,4.1921719,0.002591,1.0180749,0.002303,31.837018,0.01905,0.24852216,13.521501,0.018591328,95.36911,93.841898,0.01932,1,,,,0.0000024618377,27.200994,9.1876552,1.3830464,0
41063545.31,,5905,,3.1715,0.065,0.0000091,3.0309053,0.06602783,4.1829796,0.003058,1.0178985,0.002303,31.769264,0.02248,0.51388293,13.583609,0.018724979,95.365834,93.904107,0.02287,1,,,,0.0000024454319,27.043002,9.186387,1.380109,0
41063778.77,,5905,,3.3785,0.065,0.0000091,3.2280691,0.071239148,4.2899777,0.002484,1.2320112,0.002365,32.769978,0.01826,1.1061486,13.117958,0.02113953,95.360742,99.174179,0.01913,1,,,,0.0000026108556,27.167218,10.42043,1.3289609,0
41063881.16,,5905,,3.3767,0.065,0.0000091,3.2276798,0.070511874,4.2928145,0.002545,1.2317419,0.002365,32.790563,0.01871,0.22070524,13.014904,0.020637925,95.434264,99.14037,0.01959,1,,,,0.0000026312977,26.235916,10.417917,1.3300001,0
41063983.41,,5905,,3.3763,0.065,0.0000091,3.2276001,0.070271582,4.2808572,0.00265,1.2316056,0.002364,32.702522,0.01948,0.44015426,12.98109,0.020922234,95.368092,99.230143,0.02047,1,,,,0.0000026327483,26.029807,10.417403,1.3263282,0
41064212.75,,5905,,3.5811,0.065,0.0000091,3.4247232,0.075028106,4.3856581,0.003268,1.4828494,0.003473,33.724215,0.02403,2.5544825,12.579987,0.023741233,95.327446,104.44509,0.02593,1,,,,0.0000028011198,25.962179,11.728729,1.2805876,0
41064312.91,,5905,,3.5817,0.065,0.0000091,3.4246124,0.074386099,4.3943922,0.003173,1.4829973,0.003474,33.788572,0.02333,0.7297431,12.516028,0.023223657,95.400952,104.37247,0.02511,1,,,,0.000002818824,25.159973,11.72797,1.2831795,0
41064412.64,,5905,,3.5811,0.065,0.0000091,3.424695,0.074163297,4.3829543,0.003236,1.483005,0.003474,33.704493,0.02379,0.28881136,12.443354,0.023007975,95.429182,104.4657,0.0257,1,,,,0.0000028274345,25.032057,11.728536,1.2798087,0
41064637.42,,5905,,3.7856,0.065,0.0000091,3.6235399,0.078702893,4.4938342,0.003483,1.7745356,0.005599,34.811163,0.02561,2.7328827,12.06692,0.025745328,95.419203,109.61454,0.02831,1,,,,0.0000030098538,24.886707,13.130042,1.2401779,0
41064734.36,,5905,,3.7857,0.065,0.0000091,3.623433,0.078332765,4.4815144,0.003679,1.7747826,0.005601,34.72084,0.02705,0.84280356,11.986046,0.02534464,95.474046,109.71166,0.03001,1,,,,0.0000030206868,24.13384,13.129267,1.2368145,0
41064830.34,,5905,,3.7852,0.065,0.0000091,3.6232889,0.078006877,4.4815602,0.003518,1.7745544,0.0056,34.720948,0.02586,0.48653832,12.013294,0.025798914,95.399875,109.70692,0.02869,1,,,,0.000003015975,23.972093,13.128223,1.2368763,0
41065054.31,,5905,,3.9877,0.065,0.0000091,3.8249124,0.082750632,4.585803,0.004061,2.1031571,0.00765,35.815897,0.02985,4.5500224,11.587644,0.0285512,95.374231,114.92747,0.0339,1,,,,0.0000032240338,24.026589,14.629955,1.1989302,0
41065147.39,,5905,,3.9887,0.065,0.0000091,3.8246789,0.082092991,4.5785314,0.004392,2.1033066,0.007651,35.762589,0.03229,0.43279622,11.567568,0.028448205,95.390357,114.98126,0.03674,1,,,,0.0000032243091,23.175288,14.628169,1.1971021,0
41065241.66,,5905,,3.9879,0.065,0.0000091,3.824471,0.081975051,4.5854339,0.003895,2.1029424,0.007649,35.812968,0.02864,4.0319679,11.569838,0.02859274,95.359724,114.91729,0.03252,1,,,,0.0000032291715,23.135135,14.626579,1.1989721,0
41065460.09,,5905,,4.1948,0.065,0.0000091,4.0315264,0.086984371,4.6761549,0.004111,2.4716387,0.008979,36.848605,0.03022,2.7718393,11.179092,0.031442686,95.341314,120.35035,0.03525,1,,,,0.0000034368007,23.139677,16.253205,1.1598969,0
41065551.84,,5905,,4.1947,0.065,0.0000091,4.0311799,0.086462194,4.6699495,0.004573,2.4716976,0.008979,36.803044,0.03362,0.49918443,11.151939,0.031576729,95.314617,120.39329,0.03927,1,,,,0.0000034417325,22.358185,16.250412,1.1584572,0
41065642.33,,5905,,4.1921,0.065,0.0000091,4.0313688,0.086404963,4.6626784,0.004448,2.4719679,0.00898,36.749861,0.0327,3.545476,11.11629,0.031341492,95.342456,120.46148,0.03828,1,,,,0.0000034468631,22.303879,16.251934,1.1565993,0
41065857.91,,5905,,4.3997,0.065,0.0000091,4.2338396,0.091356573,4.7378209,0.004374,2.8620086,0.00927,37.692315,0.03216,10.721994,10.751036,0.034197204,95.30719,125.83912,0.0387,1,,,,0.0000036538215,22.23258,17.925398,1.1190365,0
41065947.7,,5905,,4.3978,0.065,0.0000092,4.233555,0.090683905,4.7410105,0.004737,2.8613223,0.00927,37.715077,0.03483,13.483413,10.760405,0.034391407,95.279959,125.80244,0.04187,1,,,,0.0000036537683,21.502072,17.922988,1.1198651,0
41066037.66,,5905,,4.3976,0.065,0.0000091,4.2335502,0.090742631,4.7354997,0.004591,2.8612633,0.009271,37.674505,0.03375,0.94403286,10.733207,0.034150418,95.306736,125.85107,0.04065,1,,,,0.0000036581715,21.52081,17.922947,1.1185647,0
41066251.44,,5905,,4.6009,0.065,0.0000091,4.4341496,0.095852203,4.7907453,0.00479,3.2795263,0.009127,38.498909,0.03521,5.5125266,10.397702,0.037201878,95.252864,131.30566,0.04373,1,,,,0.0000038576442,21.466414,19.661683,1.0804203,0
41066338.75,,5905,,4.6021,0.065,0.0000091,4.4338235,0.095164449,4.8014798,0.005294,3.2799008,0.009127,38.578198,0.03892,4.9498908,10.439258,0.037483683,95.226479,131.19809,0.04819,1,,,,0.0000038511626,20.795403,19.658791,1.0829208,0
41066425.78,,5905,,4.6012,0.065,0.0000091,4.4340235,0.095401945,4.7982252,0.005207,3.2803469,0.009127,38.554718,0.03828,2.0468321,10.421845,0.037335188,95.24123,131.23366,0.04743,1,,,,0.0000038547207,20.878516,19.660564,1.082138,0
41066637.92,,5905,,4.8052,0.065,0.0000091,4.6337769,0.10040095,4.8519967,0.005266,3.7352271,0.009793,39.404902,0.03871,3.9579854,10.124735,0.040716767,95.158907,136.63725,0.0494,1,,,,0.000004054867,20.843689,21.471889,1.0470933,0
41066723.53,,5905,,4.8069,0.065,0.0000091,4.6333776,0.099674984,4.8481495,0.006391,3.7352778,0.009793,39.37667,0.04698,0.29697316,10.063577,0.040137731,95.203442,136.6616,0.06,1,,,,0.0000040749725,20.249469,21.468188,1.0463532,0
41066807.47,,5905,,4.8054,0.065,0.000009,4.6335343,0.099741993,4.8414279,0.006412,3.7358659,0.009795,39.327844,0.04714,0.97355331,10.127001,0.040848196,95.153601,136.72944,0.06031,1,,,,0.0000040461484,20.127154,21.46964,1.0448672,0
41067016.84,,5905,,5.0089,0.065,0.0000091,4.8368192,0.1047058,4.8955159,0.006006,4.2405647,0.01201,40.230173,0.04416,4.0660658,9.7752419,0.043427031,95.142042,142.20052,0.05811,1,,,,0.0000042844712,20.254002,23.39482,1.0121354,0
41067100.48,,5905,,5.0076,0.065,0.0000091,4.836198,0.10375773,4.8961292,0.005986,4.2386844,0.012,40.232801,0.04401,8.5434235,9.7681822,0.043518496,95.125525,142.17632,0.0579,1,,,,0.0000042884749,19.550484,23.388811,1.0123922,0
41067183.97,,5905,,5.0106,0.065,0.0000091,4.8360649,0.10357995,4.8976614,0.005949,4.2382383,0.012,40.243619,0.04373,4.1223141,9.7513018,0.043415159,95.127091,142.15758,0.05751,1,,,,0.0000042970107,19.536364,23.387524,1.0127369,0
41067391.3,,5905,,5.2143,0.065,0.0000091,5.0402623,0.10822074,4.941128,0.006592,4.7809034,0.01518,41.105831,0.04846,6.77785,9.4864164,0.046592785,95.079834,147.72429,0.06564,1,,,,0.0000045091286,19.502604,25.404244,0.98033152,0
41067472.16,,5905,,5.2123,0.065,0.0000091,5.0396631,0.10776014,4.9512144,0.006673,4.78113,0.01518,41.180208,0.04905,9.952821,9.5453534,0.046743994,95.08688,147.60636,0.06625,1,,,,0.0000044892102,18.972833,25.398205,0.98244947,0
41067554.3,,5905,,5.2122,0.065,0.0000091,5.0396912,0.10814219,4.9447063,0.006793,4.7811858,0.01518,41.132419,0.04994,2.1793198,9.5022909,0.046726606,95.071104,147.67191,0.06756,1,,,,0.0000045048639,19.090707,25.398488,0.98115263,0
41067758.08,,5905,,5.417,0.065,0.0000091,5.2432665,0.11236432,4.9940263,0.007205,5.3502399,0.01855,42.064052,0.05296,9.9590706,9.2877,0.050198877,94.994143,153.12961,0.07357,1,,,,0.0000047118459,19.004582,27.491844,0.95246471,0
41067839,,5905,,5.4151,0.065,0.0000091,5.2429552,0.11201664,4.9835674,0.007329,5.3489863,0.01854,41.985909,0.05388,3.2032455,9.2195506,0.050055159,94.978266,153.22756,0.07504,1,,,,0.0000047383884,18.5754,27.48858,0.9505264,0
41067918.48,,5905,,5.4153,0.065,0.0000091,5.2426714,0.11158506,4.9852357,0.007116,5.3480568,0.01854,41.997244,0.05231,20.047959,9.230786,0.049725697,95.016575,153.20217,0.07282,1,,,,0.0000047324351,18.439101,27.485604,0.95089608,0
41068120.44,,5905,,5.6207,0.065,0.0000092,5.4471733,0.11620792,5.0229134,0.00764,5.9473977,0.02161,42.873574,0.05617,25.629259,9.0237543,0.053892448,94.867082,158.77915,0.08043,1,,,,0.0000049430782,18.461572,29.671697,0.92211376,0
