Time,Channel B
(ms),(V)

-5.00273705,5.12100600
-5.00145705,5.12100600
-5.00017705,4.94460900
-4.99889705,4.94460900
-4.99761705,5.12100600
-4.99633705,5.12100600
-4.99505705,5.12100600
-4.99377705,4.94460900
-4.99249705,5.12100600
-4.99121705,5.12100600
-4.98993705,5.12100600
-4.98865705,5.12100600
-4.98737705,4.94460900
-4.98609705,5.12100600
-4.98481705,4.94460900
-4.98353705,5.12100600
-4.98225705,5.12100600
-4.98097705,4.94460900
-4.97969705,5.12100600
-4.97841705,4.94460900
-4.97713705,4.94460900
-4.97585705,5.12100600
-4.97457705,5.12100600
-4.97329705,5.12100600
-4.97201705,5.12100600
-4.97073705,4.94460900
-4.96945705,4.94460900
-4.96817705,5.12100600
-4.96689705,5.12100600
-4.96561705,5.12100600
-4.96433705,5.12100600
-4.96305705,5.12100600
-4.96177705,5.12100600
-4.96049705,4.94460900
-4.95921705,5.12100600
-4.95793705,4.94460900
-4.95665705,5.12100600
-4.95537705,5.12100600
-4.95409705,5.12100600
-4.95281705,4.94460900
-4.95153705,5.12100600
-4.95025705,5.12100600
-4.94897705,5.12100600
-4.94769705,5.12100600
-4.94641705,5.12100600
-4.94513705,5.12100600
-4.94385705,4.94460900
-4.94257705,5.12100600
-4.94129705,5.12100600
-4.94001705,4.94460900
-4.93873705,4.94460900
-4.93745705,5.12100600
-4.93617705,5.12100600
-4.93489705,5.12100600
-4.93361705,5.12100600
-4.93233705,5.12100600
-4.93105705,4.94460900
-4.92977705,4.94460900
-4.92849705,5.12100600
-4.92721705,5.12100600
-4.92593705,5.12100600
-4.92465705,5.12100600
-4.92337705,5.12100600
-4.92209705,4.94460900
-4.92081705,5.12100600
-4.91953705,4.94460900
-4.91825705,5.12100600
-4.91697705,4.94460900
-4.91569705,5.12100600
-4.91441705,4.94460900
-4.91313705,5.12100600
-4.91185705,5.12100600
-4.91057705,4.94460900
-4.90929705,4.94460900
-4.90801705,4.94460900
-4.90673705,4.94460900
-4.90545705,5.12100600
-4.90417705,5.12100600
-4.90289705,5.12100600
-4.90161705,5.12100600
-4.90033705,5.12100600
-4.89905705,4.94460900
-4.89777705,5.12100600
-4.89649705,4.94460900
-4.89521705,5.12100600
-4.89393705,5.12100600
-4.89265705,5.12100600
-4.89137705,5.12100600
-4.89009705,5.12100600
-4.88881705,4.94460900
-4.88753705,4.94460900
-4.88625705,4.94460900
-4.88497705,4.94460900
-4.88369705,5.12100600
-4.88241705,4.94460900
-4.88113705,5.12100600
-4.87985705,4.94460900
-4.87857705,5.12100600
-4.87729705,5.12100600
-4.87601705,4.94460900
-4.87473705,5.12100600
-4.87345705,5.12100600
-4.87217705,4.94460900
-4.87089705,5.12100600
-4.86961705,5.12100600
-4.86833705,5.12100600
-4.86705705,5.12100600
-4.86577705,5.12100600
-4.86449705,5.12100600
-4.86321705,5.12100600
-4.86193705,5.12100600
-4.86065705,5.12100600
-4.85937705,5.12100600
-4.85809705,5.12100600
-4.85681705,5.12100600
-4.85553705,5.12100600
-4.85425705,5.12100600
-4.85297705,4.94460900
