Time,Channel B
(ms),(V)

-5.00347978,-5.03067100
-5.00219978,-5.03067100
-5.00091978,-5.03067100
-4.99963978,-5.03067100
-4.99835978,-5.03067100
-4.99707978,-5.03067100
-4.99579978,-5.03067100
-4.99451978,-5.03067100
-4.99323978,-5.03067100
-4.99195978,-5.03067100
-4.99067978,-5.03067100
-4.98939978,-5.03067100
-4.98811978,-5.03067100
-4.98683978,-5.03067100
-4.98555978,-5.03067100
-4.98427978,-5.03067100
-4.98299978,-5.03067100
-4.98171978,-5.03067100
-4.98043978,-5.03067100
-4.97915978,-5.03067100
-4.97787978,-5.03067100
-4.97659978,-5.03067100
-4.97531978,-5.03067100
-4.97403978,-5.03067100
-4.97275978,-5.03067100
-4.97147978,-5.03067100
-4.97019978,-5.03067100
-4.96891978,-5.03067100
-4.96763978,-5.03067100
-4.96635978,-5.03067100
-4.96507978,-5.03067100
-4.96379978,-5.03067100
-4.96251978,-5.03067100
-4.96123978,-5.03067100
-4.95995978,-5.03067100
-4.95867978,-5.03067100
-4.95739978,-5.03067100
-4.95611978,-5.03067100
-4.95483978,-5.03067100
-4.95355978,-5.03067100
-4.95227978,-5.03067100
-4.95099978,-5.03067100
-4.94971978,-5.11887000
-4.94843978,-5.11887000
-4.94715978,-5.11887000
-4.94587978,-5.03067100
-4.94459978,-5.03067100
-4.94331978,-5.03067100
-4.94203978,-5.03067100
-4.94075978,-5.03067100
-4.93947978,-5.03067100
-4.93819978,-5.03067100
-4.93691978,-5.03067100
-4.93563978,-5.03067100
-4.93435978,-5.03067100
-4.93307978,-5.03067100
-4.93179978,-5.03067100
-4.93051978,-5.03067100
-4.92923978,-5.03067100
-4.92795978,-5.03067100
-4.92667978,-5.03067100
-4.92539978,-5.03067100
-4.92411978,-5.03067100
-4.92283978,-5.03067100
-4.92155978,-5.03067100
-4.92027978,-5.03067100
-4.91899978,-5.03067100
-4.91771978,-5.03067100
-4.91643978,-5.03067100
-4.91515978,-5.03067100
-4.91387978,-5.03067100
-4.91259978,-5.03067100
-4.91131978,-5.03067100
-4.91003978,-5.03067100
-4.90875978,-5.03067100
-4.90747978,-5.03067100
-4.90619978,-5.03067100
-4.90491978,-5.03067100
-4.90363978,-5.03067100
-4.90235978,-5.03067100
-4.90107978,-5.03067100
-4.89979978,-5.03067100
-4.89851978,-5.03067100
-4.89723978,-5.03067100
-4.89595978,-5.03067100
-4.89467978,-5.03067100
-4.89339978,-5.03067100
-4.89211978,-5.03067100
-4.89083978,-5.03067100
-4.88955978,-5.03067100
-4.88827978,-5.03067100
-4.88699978,-5.03067100
-4.88571978,-5.03067100
-4.88443978,-5.03067100
-4.88315978,-5.03067100
-4.88187978,-5.03067100
-4.88059978,-5.03067100
-4.87931978,-5.03067100
-4.87803978,-5.03067100
-4.87675978,-5.03067100
-4.87547978,-5.03067100
-4.87419978,-5.03067100
-4.87291978,-5.03067100
-4.87163978,-5.03067100
-4.87035978,-5.03067100
-4.86907978,-5.03067100
-4.86779978,-5.03067100
-4.86651978,-5.03067100
-4.86523978,-5.03067100
-4.86395978,-5.03067100
